Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1015;976,76;21,22;0,43;308,32;;;;;-2,849099976;;;;;;;;;;;;0;0;None;;ground_level
2028;976,76;21,24;0,43;308,32;;;;;-2,932897034;;;;;;;;;;;;0;0;None;;ground_level
3038;976,75;21,25;0,43;308,41;;;;;-3,062183923;;;;;;;;;;;;0;0;None;;ground_level
4049;976,47;21,07;0,43;310,81;;;;;-2,643198633;;;;;;;;;;;;0;0;None;;ground_level
5065;976,58;21,17;0,43;309,87;;;;;-3,153163586;;;;;;;;;;;;0;0;None;;ground_level
6075;976,6;21,19;0,43;309,7;;;;;-3,074154932;;;;;;;;;;;;0;0;None;;ground_level
7086;976,37;21,04;0,43;311,67;;;;;-2,923320227;;;;;;;;;;;;0;0;None;;ground_level
8095;976,46;21,12;0,43;310,9;;;;;-3,15795199;;;;;;;;;;;;0;0;None;;ground_level
9105;976,6;21,21;0,43;309,7;;;;;-2,923320227;;;;;;;;;;;;0;0;None;;ground_level
10116;976,38;21,07;0,43;311,58;;;;;-3,126827368;;;;;;;;;;;;0;0;None;;ground_level
11126;976,46;21,13;0,43;310,9;;;;;-3,047818713;;;;;;;;;;;;0;0;None;;ground_level
12136;976,57;21,23;0,43;309,95;;;;;-2,916137622;;;;;;;;;;;;0;0;None;;ground_level
13146;976,39;21,11;0,43;311,5;;;;;-3,232172241;;;;;;;;;;;;0;0;None;;ground_level
14157;976,49;21,19;0,43;310,64;;;;;-3,0286651;;;;;;;;;;;;0;0;None;;ground_level
15168;976,61;21,28;0,43;309,61;;;;;-3,004723083;;;;;;;;;;;;0;0;None;;ground_level
16178;976,4;21,15;0,43;311,41;;;;;-3,078943335;;;;;;;;;;;;0;0;None;;ground_level
17189;976,5;21,22;0,43;310,55;;;;;-2,949656445;;;;;;;;;;;;0;0;None;;ground_level
18200;976,59;21,3;0,43;309,78;;;;;-2,992752075;;;;;;;;;;;;0;0;None;;ground_level
19210;976,39;21,17;0,43;311,5;;;;;-2,887407202;;;;;;;;;;;;0;0;None;;ground_level
20221;976,47;21,24;0,43;310,81;;;;;-3,433285181;;;;;;;;;;;;0;0;None;;ground_level
21271;976,58;21,33;0,43;309,87;;;;;-2,851494177;;;;;;;;;;;;0;0;None;;ground_level
22282;976,36;21,19;0,43;311,76;;;;;-2,820369556;;;;;;;;;;;;0;0;None;;ground_level
23293;976,49;21,29;0,43;310,64;;;;;-2,652775439;;;;;;;;;;;;0;0;None;;ground_level
24304;976,55;21,34;0,43;310,13;;;;;-3,019088293;;;;;;;;;;;;0;0;None;;ground_level
25321;976,38;21,23;0,43;311,58;;;;;-1,71664259;;;;;;;;;;;;0;0;None;;ground_level
26332;976,5;21,33;0,43;310,55;;;;;-2,947262244;;;;;;;;;;;;0;0;None;;ground_level
27343;976,57;21,38;0,43;309,95;;;;;-2,94247384;;;;;;;;;;;;0;0;None;;ground_level
28353;976,39;21,27;0,43;311,5;;;;;-2,841917371;;;;;;;;;;;;0;0;None;;ground_level
29363;976,51;21,36;0,43;310,47;;;;;-2,875436194;;;;;;;;;;;;0;0;None;;ground_level
30381;976,57;21,42;0,43;309,95;;;;;-3,064578125;;;;;;;;;;;;0;0;None;;ground_level
31392;976,37;21,29;0,43;311,67;;;;;-3,004723083;;;;;;;;;;;;0;0;None;;ground_level
32403;976,41;21,35;0,42;311,33;;;;;-3,22977804;;;;;;;;;;;;0;0;None;;ground_level
33414;976,48;21,4;0,42;310,73;;;;;-3,371035938;;;;;;;;;;;;0;0;None;;ground_level
34424;976,3;21,3;0,43;312,27;;;;;-3,466804004;;;;;;;;;;;;0;0;None;;ground_level
35434;976,36;21,35;0,43;311,76;;;;;-3,224989636;;;;;;;;;;;;0;0;None;;ground_level
36446;976,45;21,43;0,43;310,98;;;;;-3,198653418;;;;;;;;;;;;0;0;None;;ground_level
37457;976,34;21,36;0,43;311,93;;;;;-3,327940308;;;;;;;;;;;;0;0;None;;ground_level
38467;976,32;21,37;0,43;312,1;;;;;-3,205836023;;;;;;;;;;;;0;0;None;;ground_level
39477;976,4;21,43;0,43;311,41;;;;;-3,066972327;;;;;;;;;;;;0;0;None;;ground_level
