Teamname: Gmunden Space Agency, CanSat Flight Logfile at: 2024-02-13 21:10:01.789172

Timestamp,Pressure (hPa),Temperature (°C),Humidity (%),Altitudes (m),Speed (m/s),Relative Vertical Acceleration (m/s^2),Absolute Acceleration X (g),Absolute Acceleration Y (g),Absolute Acceleration Z (g),Rate of Rotation X (°/s),Rate of Rotation Y (°/s),Rate of Rotation Z (°/s),Motor Rotation (°),Luminance at 0° (lux),Luminance at 120° (lux),Luminance at 240° (lux),Calculated Light Angle (°),Solar Panel Voltage (V),Errors,Status
5,964.9,25.69,0.31,410.54,,,,,,,,,,,,,,,None,ground_level
1012,964.92,25.68,0.31,410.37,,,,,,,,,,,,,,,None,ground_level
2028,964.94,25.68,0.31,410.2,,,,,,,,,,,,,,,None,ground_level
3037,964.94,25.68,0.31,410.2,,,,,,,,,,,,,,,None,ground_level
4045,964.95,25.68,0.31,410.11,,,,,,,,,,,,,,,None,ground_level
5053,964.94,25.69,0.31,410.2,,,,,,,,,,,,,,,None,ground_level
6062,964.94,25.69,0.31,410.2,0.0,X,X,X,X,X,X,X,,,,,,,Warning: Single iteration in descent took more than 1000ms (took 1009ms),ascending
7243,964.92,25.69,0.31,410.37,0.14,0.0,X,X,X,X,X,X,,,,,,,Warning: Single iteration in descent took more than 1000ms (took 1181ms),ascending
8261,964.93,25.69,0.3,410.28,-0.09,-0.0,X,X,X,X,X,X,,,,,,,Warning: Single iteration in descent took more than 1000ms (took 1018ms),ascending
9279,964.94,25.68,0.3,410.2,-0.08,0.0,X,X,X,X,X,X,,,,,,,Warning: Single iteration in descent took more than 1000ms (took 1018ms),ascending
10297,964.93,25.68,0.3,410.28,0.08,0.0,X,X,X,X,X,X,,,,,,,Warning: Single iteration in descent took more than 1000ms (took 1018ms),descending
11318,964.93,25.68,0.3,410.28,0.0,-0.0,X,X,X,X,X,X,,X,X,X,,,Warning: Single iteration in descent took more than 1000ms (took 1018ms),landed
12393,,,,,,,,,,,,,,,,,,,None,landed
13400,,,,,,,,,,,,,,,,,,,None,landed
14406,,,,,,,,,,,,,,,,,,,None,landed
15410,,,,,,,,,,,,,,,,,,,None,landed
16417,,,,,,,,,,,,,,,,,,,None,landed
17427,,,,,,,,,,,,,,,,,,,None,landed
18433,,,,,,,,,,,,,,,,,,,None,landed
19440,,,,,,,,,,,,,,,,,,,None,landed
20446,,,,,,,,,,,,,,,,,,,None,landed
21452,,,,,,,,,,,,,,,,,,,None,landed
22463,,,,,,,,,,,,,,,,,,,None,landed
23469,,,,,,,,,,,,,,,,,,,None,landed
24475,,,,,,,,,,,,,,,,,,,None,landed
25482,,,,,,,,,,,,,,,,,,,None,landed
