Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Altitudes (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (g);Absolute Acceleration Y (g);Absolute Acceleration Z (g);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Errors;Status
2035;944,95;26,33;0,28;584,81;;;;;;;;;;;;;;;X;X;;ground_level
3045;944,96;26,33;0,28;584,72;;;;;;;;;;;;;;;X;X;;ground_level
4055;944,96;26,34;0,28;584,72;;;;;;;;;;;;;;;X;X;;ground_level
5065;944,97;26,35;0,28;584,63;;;;;;;;;;;;;;;X;X;;ground_level
6081;944,97;26,35;0,28;584,63;;;;;;;;;;;;;;;X;X;;ground_level
7091;944,95;26,33;0,28;584,81;;;;;;;;;;;;;;;X;X;;ground_level
8102;944,94;26,32;0,28;584,9;;;;;;;;;;;;;;;X;X;;ground_level
9112;944,93;26,32;0,28;584,99;;;;;;;;;;;;;;;X;X;;ground_level
10122;944,95;26,33;0,28;584,81;;;;;;;;;;;;;;;X;X;;ground_level
11136;944,96;26,34;0,28;584,72;;;;;;;;;;;;;;;X;X;;ground_level
12146;944,97;26,34;0,28;584,63;;;;;;;;;;;;;;;X;X;;ground_level
13156;944,95;26,32;0,28;584,81;;;;;;;;;;;;;;;X;X;;ground_level
14166;944,93;26,3;0,28;584,99;;;;;;;;;;;;;;;X;X;;ground_level
15176;944,93;26,29;0,3;584,99;;;;;;;;;;;;;;;X;X;;ground_level
16187;944,96;26,3;0,3;584,72;;;;;;;;;;;;;;;X;X;;ground_level
17197;944,96;26,29;0,3;584,72;;;;;;;;;;;;;;;X;X;;ground_level
18208;944,98;26,25;0,32;584,55;-0,17;X;0,94;0,18;-0,41;-15,83;1,3;-0,09;;;;;;;X;X;F;ascending
19442;944,96;26,19;0,31;584,72;0,14;0,0;0,93;0,17;-0,4;-15,6;0,51;-0,02;;;;;;;X;X;F;ascending
20551;944,97;26,17;0,3;584,63;-0,08;-0,0;0,93;0,18;-0,39;-15,76;0,31;-0,11;;;;;;;X;X;F;ascending
21663;944,96;26,17;0,3;584,72;0,08;0,0;0,92;0,18;-0,39;-15,56;0,95;0,0;;;;;;;X;X;F;ascending
22774;944,96;26,17;0,3;584,72;0,0;-0,0;0,93;0,18;-0,39;-15,73;0,38;0,0;;;;;;;X;X;F;ascending
23884;944,96;26,17;0,29;584,72;0,0;0,0;0,93;0,18;-0,38;-15,65;-0,28;0,2;;;;;;;X;X;F;ascending
24994;944,96;26,17;0,29;584,72;0,0;0,0;0,93;0,18;-0,4;-15,58;0,51;-0,08;;;;;;;X;X;F;ascending
26101;944,96;26,17;0,29;584,72;0,0;0,0;0,93;0,18;-0,39;-15,67;0,13;0,05;;;;;;;X;X;F;ascending
27215;944,95;26,17;0,29;584,81;0,08;0,0;0,93;0,18;-0,38;-15,61;0,11;0,06;;;;;;;X;X;F;ascending
28325;944,96;26,17;0,29;584,72;-0,08;-0,0;0,93;0,18;-0,4;-15,64;0,57;0,11;;;;;;;X;X;F;descending
29439;944,94;26,16;0,29;584,9;0,16;0,0;0,93;0,18;-0,39;-15,62;0,34;0,01;;36,6667;26,6667;23,3333;;;X;X;F;descending
30488;944,95;26,16;0,29;584,81;-0,09;-0,0;0,93;0,18;-0,4;-15,66;0,38;-0,05;;33,3333;26,6667;23,3333;;;X;X;F;descending
31544;944,96;26,15;0,29;584,72;-0,09;0,0;0,92;0,18;-0,38;-15,85;0,38;-0,09;;33,3333;30,0;23,3333;;;X;X;F;descending
32602;944,96;26,15;0,29;584,72;0,0;0,0;0,92;0,18;-0,38;-15,57;0,68;0,1;;33,3333;30,0;23,3333;;;X;X;F;descending
33660;944,96;26,14;0,29;584,72;0,0;0,0;0,92;0,18;-0,39;-15,56;1,02;0,04;;36,6667;26,6667;23,3333;;;X;X;F;descending
34717;944,93;26,12;0,29;584,99;0,26;0,0;0,92;0,18;-0,41;-15,52;0,24;0,13;;36,6667;26,6667;23,3333;;;X;X;F;descending
35779;944,92;26,11;0,29;585,07;0,08;-0,0;0,93;0,18;-0,38;-15,5;0,44;-0,14;;33,3333;30,0;23,3333;;;X;X;F;descending
36834;944,91;26,11;0,29;585,16;0,09;0,0;0,93;0,18;-0,4;-15,69;0,83;0,03;;36,6667;26,6667;20,0;;;X;X;F;descending
37913;944,9;26,11;0,29;585,25;0,08;-0,0;0,92;0,18;-0,41;-15,47;0,42;0,1;;36,6667;26,6667;23,3333;;;X;X;F;descending
38970;944,91;26,12;0,29;585,16;-0,09;-0,0;0,93;0,18;-0,39;-15,76;0,47;0,12;;36,6667;30,0;20,0;;;X;X;F;descending
40024;944,93;26,14;0,29;584,99;-0,16;-0,0;0,92;0,18;-0,38;-15,42;0,37;-0,03;;36,6667;30,0;20,0;;;X;X;F;descending
41081;944,94;26,14;0,29;584,9;-0,09;0,0;0,93;0,18;-0,39;-15,54;0,64;0,08;;36,6667;26,6667;23,3333;;;X;X;F;descending
42138;944,94;26,15;0,29;584,9;0,0;0,0;0,93;0,18;-0,38;-15,79;0,36;0,0;;36,6667;26,6667;20,0;;;X;X;F;descending
43199;944,95;26,14;0,29;584,81;-0,08;-0,0;0,93;0,18;-0,38;-15,66;0,44;-0,08;;36,6667;26,6667;23,3333;;;X;X;F;descending
44254;944,95;26,14;0,29;584,81;0,0;0,0;0,93;0,18;-0,4;-15,58;0,6;0,07;;33,3333;30,0;20,0;;;X;X;F;descending
45313;944,95;26,14;0,29;584,81;0,0;0,0;0,93;0,18;-0,39;-15,72;0,1;-0,02;;33,3333;30,0;23,3333;;;X;X;F;descending
46365;944,95;26,14;0,29;584,81;0,0;0,0;0,93;0,18;-0,39;-15,66;0,31;-0,1;;36,6667;30,0;20,0;;;X;X;F;descending
47420;944,96;26,14;0,29;584,72;-0,09;-0,0;0,93;0,18;-0,38;-15,7;-0,2;0,2;;33,3333;30,0;20,0;;;X;X;F;descending
48480;944,96;26,14;0,29;584,72;0,0;0,0;0,93;0,18;-0,38;-15,41;0,53;0,13;;33,3333;30,0;20,0;;;X;X;F;descending
49536;944,93;26,12;0,29;584,99;0,26;0,0;0,93;0,18;-0,39;-15,65;0,34;0,16;;33,3333;30,0;20,0;;;X;X;F;landed
50594;;;;X;;;;;;;;;;;;;;;X;X;;landed
51603;;;;X;;;;;;;;;;;;;;;X;X;;landed
52611;;;;X;;;;;;;;;;;;;;;X;X;;landed
53622;;;;X;;;;;;;;;;;;;;;X;X;;landed
54630;;;;X;;;;;;;;;;;;;;;X;X;;landed
55637;;;;X;;;;;;;;;;;;;;;X;X;;landed
56645;;;;X;;;;;;;;;;;;;;;X;X;;landed
57653;;;;X;;;;;;;;;;;;;;;X;X;;landed
58664;;;;X;;;;;;;;;;;;;;;X;X;;landed
59672;;;;X;;;;;;;;;;;;;;;X;X;;landed
60680;;;;X;;;;;;;;;;;;;;;X;X;;landed
61688;;;;X;;;;;;;;;;;;;;;X;X;;landed
62695;;;;X;;;;;;;;;;;;;;;X;X;;landed
63707;;;;X;;;;;;;;;;;;;;;X;X;;landed
