Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
1010;953,96;27,64;0,29;505,74;;;;;-3,6822821533203123;;;;;;;;;;;;None;None;None;;ground_level
2020;953,73;27,49;0,29;507,75;;;;;-3,754108203125;;;;;;;;;;;;None;None;None;;ground_level
3031;953,79;27,54;0,29;507,23;;;;;-3,69664736328125;;;;;;;;;;;;None;None;None;;ground_level
4041;953,87;27,59;0,29;506,53;;;;;-3,5913024902343746;;;;;;;;;;;;None;None;None;;ground_level
5051;953,69;27,46;0,29;508,1;;;;;-3,660734338378906;;;;;;;;;;;;None;None;None;;ground_level
6067;953,82;27,54;0,29;506,96;;;;;-3,612850305175781;;;;;;;;;;;;None;None;None;;ground_level
7077;953,85;27,57;0,28;506,7;-0,26;None;2,185906115722656;9,102754711914063;-3,7995980346679685;26,74186259541985;-1,0310458015267177;0,7291984732824426;64,29;-12,5;;;;;;;None;None;None;7,F,1,2;ascending
7578;953,94;27,61;0,29;505,92;-1,56;-0,003;2,27927998046875;9,105148913574219;-3,706224169921875;27,077740458015267;-0,22951908396946563;0,6833969465648855;64,46;-13,05;;;;;;;None;None;None;7,1,2;ascending
8079;953,95;27,62;0,28;505,83;-0,18;0,003;2,2960393920898436;9,124302526855468;-3,6631285400390623;26,92506870229008;-1,7180687022900765;0,874236641221374;64,65;-13,14;;;;;;;None;None;None;7,1,2;ascending
8580;953,95;27,63;0,28;505,83;0,0;0,0;2,3223756103515623;9,050082275390624;-3,7014357666015623;28,322015267175576;-1,4127251908396947;0,3017175572519084;64,23;-13,36;;;;;;;None;None;None;7,1,2;ascending
9081;953,95;27,63;0,28;505,83;0,0;0,0;2,3582886352539063;9,090783703613281;-3,6918589599609373;26,634992366412217;-0,3058549618320612;0,6833969465648855;64,27;-13,51;;;;;;;None;None;None;7,1,2;descending
9585;953,96;27,63;0,28;505,74;-0,18;-0,0;2,4492682983398435;9,179369165039063;-3,782838623046875;37,16793893129771;1,8778625954198473;1,900763358778626;63,85;-13,86;0;0;0;0;0;None;None;None;None;1,7,2;descending
10087;953,67;27,43;0,28;508,28;5,06;0,01;2,3295582153320313;9,157821350097656;-3,6846763549804686;36,79389312977099;0,8778625954198473;1,8015267175572518;64,54;-13,28;0;0;0;0;0;0,0;None;None;None;7,1,2,1;descending
10589;953,46;27,28;0,28;510,11;3,65;-0,003;2,2553379638671873;9,1554271484375;-3,6846763549804686;37,31297709923664;0,4961832061068702;2,236641221374046;64,74;-12,87;0;0;0;0;0;0,0;None;None;None;1,7,2,1;descending
11091;953,57;27,35;0,28;509,15;-1,91;-0,011;2,3127988037109373;9,093177905273437;-3,766079211425781;37,45038167938932;0,5954198473282443;2,1526717557251906;64,08;-13,22;0;0;0;0;0;0,0;None;None;None;1,7,2,1;descending
11594;953,65;27,41;0,28;508,45;-1,39;0,001;2,269703173828125;9,121908325195312;-3,651157531738281;39,038167938931295;0,6030534351145038;2,183206106870229;64,77;-13,01;0;0;0;0;0;0,0;None;None;None;1,7,2,1;landed
12096;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
13101;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
14105;;;;;;;;;;;;;;;;;;;;;None;None;None;;landed
